timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-09-08,93.74,96.45,92.63,96.24,16.0161,4694803,0.0,1.0
2015-09-09,99.54,99.59,92.12,92.89,15.4586,5860106,0.0,1.0
2015-09-10,92.51,97.73,92.1816,95.86,15.9528,5149244,0.0,1.0
2015-09-11,94.58,97.41,93.75,97.41,16.2108,3952456,0.0,1.0
2015-09-14,98.5,98.53,95.48,96.54,16.066,3680525,0.0,1.0
2015-09-15,97.26,100.89,96.1993,99.91,16.6268,3180266,0.0,1.0
2015-09-16,100.11,101.95,99.0,101.58,16.9047,2925303,0.0,1.0
2015-09-17,101.47,106.35,100.5,101.86,16.9513,5049166,0.0,1.0
2015-09-18,97.19,101.02,96.9672,97.55,16.2341,5673789,0.0,1.0
2015-09-21,99.04,100.76,95.75,98.38,16.3722,4173162,0.0,1.0
2015-09-22,93.83,94.9,91.28,94.04,15.6499,5912433,0.0,1.0
2015-09-23,94.7,95.44,92.7,94.19,15.6749,4661679,0.0,1.0
2015-09-24,91.41,94.18,89.0,93.1,15.4935,6121570,0.0,1.0
2015-09-25,96.26,96.39,89.03,90.84,15.1174,5912960,0.0,1.0
2015-09-28,89.58,89.74,82.2101,83.01,13.8144,7501171,0.0,1.0
2015-09-29,83.61,86.15,79.92,81.78,13.6097,7619840,0.0,1.0
2015-09-30,85.18,87.6,84.2,87.19,14.51,6955535,0.0,1.0
2015-10-01,87.74,88.47,84.28,88.41,14.713,4568047,0.0,1.0
2015-10-02,84.86,93.11,84.0,93.0,15.4769,6612622,0.0,1.0
2015-10-05,95.17,97.84,94.563,97.24,16.1825,4336511,0.0,1.0
2015-10-06,96.53,97.38,93.43,95.85,15.9512,4794167,0.0,1.0
2015-10-07,97.56,98.07,93.76,97.39,16.2075,5273111,0.0,1.0
2015-10-08,96.35,99.1,93.51,98.58,16.4055,6080718,0.0,1.0
2015-10-09,98.71,100.5,97.9272,99.78,16.6052,3650478,0.0,1.0
2015-10-12,100.54,101.21,99.43,100.62,16.745,3177873,0.0,1.0
2015-10-13,98.9,101.974,98.4,98.65,16.4171,4436750,0.0,1.0
2015-10-14,98.68,100.17,96.96,98.23,16.3472,3819436,0.0,1.0
2015-10-15,99.29,103.05,98.91,103.03,17.146,4470215,0.0,1.0
2015-10-16,103.71,104.5,102.203,104.31,17.3591,2763362,0.0,1.0
2015-10-19,103.83,106.35,103.25,106.18,17.6703,3408778,0.0,1.0
2015-10-20,105.54,106.25,103.42,104.42,17.3774,3026120,0.0,1.0
2015-10-21,106.06,106.3616,102.44,102.74,17.0978,3676958,0.0,1.0
2015-10-22,105.31,109.09,104.43,108.83,18.1113,5411489,0.0,1.0
2015-10-23,117.61,119.31,115.85,117.88,19.6174,4251234,0.0,1.0
2015-10-26,117.73,118.88,116.4,118.23,19.6756,2497676,0.0,1.0
2015-10-27,117.27,119.421,117.17,119.0,19.8037,2176320,0.0,1.0
2015-10-28,119.54,121.84,116.5876,121.76,20.2631,4353324,0.0,1.0
2015-10-29,120.18,121.9,119.83,121.31,20.1882,2079749,0.0,1.0
2015-10-30,121.47,122.1,119.64,119.65,19.9119,2501492,0.0,1.0
2015-11-02,120.54,124.13,119.87,123.73,20.5909,2304220,0.0,1.0
2015-11-03,122.97,126.3355,122.4,124.91,20.7873,2575487,0.0,1.0
2015-11-04,126.15,126.5,123.47,124.96,20.7956,3038167,0.0,1.0
2015-11-05,125.34,126.26,122.06,123.86,20.6125,2963582,0.0,1.0
2015-11-06,123.34,124.67,120.8906,124.27,20.6808,2838537,0.0,1.0
2015-11-09,122.83,123.328,117.9801,120.27,20.0151,3152438,0.0,1.0
2015-11-10,118.35,119.67,117.3,119.42,19.8736,2056652,0.0,1.0
2015-11-11,120.33,122.05,118.295,118.89,19.7854,2100647,0.0,1.0
2015-11-12,117.36,119.15,115.18,115.44,19.2113,2873494,0.0,1.0
2015-11-13,113.99,114.325,108.46,108.65,18.0813,4118657,0.0,1.0
2015-11-16,108.29,113.35,107.532,113.18,18.8352,3865524,0.0,1.0
2015-11-17,113.87,115.96,112.65,113.57,18.9001,4612831,0.0,1.0
2015-11-18,114.85,120.4,114.545,120.08,19.9835,4089137,0.0,1.0
2015-11-19,120.28,121.9412,119.64,120.26,20.0134,2165847,0.0,1.0
2015-11-20,121.94,123.0,121.6393,122.65,20.4112,2124930,0.0,1.0
2015-11-23,122.8,124.2,120.11,121.66,20.2464,2351644,0.0,1.0
2015-11-24,119.3,122.19,117.43,121.28,20.1832,2760304,0.0,1.0
2015-11-25,121.75,122.32,120.9,121.55,20.2281,1166239,0.0,1.0
2015-11-27,122.42,122.88,120.9,121.99,20.3013,567549,0.0,1.0
2015-11-30,123.21,123.227,120.02,121.22,20.1732,1943220,0.0,1.0
2015-12-01,122.58,124.82,122.19,124.82,20.7723,2438394,0.0,1.0
2015-12-02,125.06,126.74,121.91,122.55,20.3945,2543617,0.0,1.0
2015-12-03,123.52,124.07,114.16,116.3,19.3544,4706504,0.0,1.0
2015-12-04,117.29,125.0,116.6,124.29,20.6841,3610205,0.0,1.0
2015-12-07,124.66,124.888,120.95,122.77,20.4311,2884399,0.0,1.0
2015-12-08,118.88,123.9115,118.73,122.78,20.4328,3387456,0.0,1.0
2015-12-09,121.04,123.12,114.97,117.06,19.4809,6036132,0.0,1.0
2015-12-10,117.91,121.04,116.88,118.72,19.7571,3394286,0.0,1.0
2015-12-11,114.61,115.53,110.32,110.58,18.4025,6143171,0.0,1.0
2015-12-14,111.06,113.16,106.28,113.06,18.8152,4840473,0.0,1.0
2015-12-15,115.96,117.99,114.66,114.98,19.1347,3990785,0.0,1.0
2015-12-16,117.41,120.77,113.9,120.06,19.9801,4094000,0.0,1.0
2015-12-17,121.66,121.76,114.91,115.06,19.1481,3948207,0.0,1.0
2015-12-18,113.82,114.63,108.5,108.74,18.0963,4269894,0.0,1.0
2015-12-21,111.43,111.98,108.9856,111.97,18.6338,2667857,0.0,1.0
2015-12-22,113.72,114.59,111.93,114.09,18.9866,2792628,0.0,1.0
2015-12-23,115.88,116.88,115.25,116.7,19.421,2289451,0.0,1.0
2015-12-24,116.6,117.54,116.4,116.46,19.381,1010793,0.0,1.0
2015-12-28,115.64,116.43,113.19,116.43,19.376,2139041,0.0,1.0
2015-12-29,118.45,122.62,118.21,121.74,20.2597,3027171,0.0,1.0
2015-12-30,121.52,121.67,118.54,118.63,19.7422,1866532,0.0,1.0
2015-12-31,117.34,117.97,114.1,114.23,19.0099,3664745,0.0,1.0
2016-01-04,106.62,107.25,102.735,107.25,17.8483,5538876,0.0,1.0
2016-01-05,108.5,108.93,104.84,106.29,17.6886,2756777,0.0,1.0
2016-01-06,100.98,105.05,100.84,103.44,17.2143,5078916,0.0,1.0
2016-01-07,96.7,100.5,93.46,93.6,15.5767,7090606,0.0,1.0
2016-01-08,95.63,97.37,90.97,91.39,15.2089,6912888,0.0,1.0
2016-01-11,93.29,94.03,87.9,92.19,15.3421,7003675,0.0,1.0
2016-01-12,94.67,96.7299,91.4,95.3,15.8596,6614981,0.0,1.0
2016-01-13,96.45,97.12,85.0,85.33,14.2004,8612461,0.0,1.0
2016-01-14,86.41,93.1499,82.3,90.85,15.1191,7571172,0.0,1.0
2016-01-15,81.78,85.3,78.93,82.5,13.7295,11764897,0.0,1.0
2016-01-19,85.73,86.124,80.01,82.85,13.7877,5400581,0.0,1.0
2016-01-20,78.96,84.78,73.54,82.1,13.6629,11556241,0.0,1.0
2016-01-21,83.13,86.01,79.86,82.4,13.7128,7044048,0.0,1.0
2016-01-22,87.25,89.64,86.51,89.5,14.8944,5976676,0.0,1.0
2016-01-25,88.7,90.09,85.3,85.47,14.2237,5772566,0.0,1.0
2016-01-26,86.6,88.9499,84.38,87.91,14.6298,5063278,0.0,1.0
2016-01-27,86.31,87.41,80.2,81.37,13.5414,7464908,0.0,1.0
2016-01-28,85.19,85.4,80.51,84.58,14.0756,6574432,0.0,1.0
2016-01-29,84.77,90.09,84.5501,90.09,14.9926,5369112,0.0,1.0
2016-02-01,88.62,91.74,87.65,90.6,15.0775,4754983,0.0,1.0
2016-02-02,89.532,89.532,84.02,84.85,14.1206,5351427,0.0,1.0
2016-02-03,86.45,86.47,79.14,83.65,13.9209,9818831,0.0,1.0
2016-02-04,82.82,85.55,80.65,83.5,13.8959,5917409,0.0,1.0
2016-02-05,82.7,82.781,73.98,74.91,12.4664,8953719,0.0,1.0
2016-02-08,70.73,72.38,67.34,71.49,11.8972,10728439,0.0,1.0
2016-02-09,68.54,73.989,68.22,70.66,11.7591,9572791,0.0,1.0
2016-02-10,73.25,75.92,71.39,71.5,11.8989,7823501,0.0,1.0
2016-02-11,68.8,72.91,68.18,71.33,11.8706,9939112,0.0,1.0
2016-02-12,73.56,74.68,71.62,74.37,12.3765,6592275,0.0,1.0
2016-02-16,77.82,79.32,76.37,79.32,13.2003,6235697,0.0,1.0
2016-02-17,81.33,85.23,80.6,84.8,14.1122,7608954,0.0,1.0
2016-02-18,85.7,85.73,81.65,81.92,13.633,5372875,0.0,1.0
2016-02-19,80.99,83.4599,80.22,82.77,13.7744,4977837,0.0,1.0
2016-02-22,85.019,86.97,84.78,86.68,14.4251,5172219,0.0,1.0
2016-02-23,85.15,85.887,82.28,82.36,13.7062,5579725,0.0,1.0
2016-02-24,79.57,85.1001,78.04,84.81,14.1139,7303339,0.0,1.0
2016-02-25,85.37,87.25,83.05,87.15,14.5033,5408343,0.0,1.0
2016-02-26,89.14,89.35,86.361,86.95,14.47,5178654,0.0,1.0
2016-02-29,86.75,88.69,84.65,84.65,14.0873,4790960,0.0,1.0
2016-03-01,86.97,92.77,86.28,92.75,15.4353,6482012,0.0,1.0
2016-03-02,92.4,92.949,90.71,92.85,15.4519,4041062,0.0,1.0
2016-03-03,92.61,92.69,90.37,92.33,15.3654,4304090,0.0,1.0
2016-03-04,92.68,94.2618,90.63,92.49,15.392,4955108,0.0,1.0
2016-03-07,91.05,92.67,88.77,90.77,15.1058,3940100,0.0,1.0
2016-03-08,88.84,91.25,88.02,88.37,14.7064,4428444,0.0,1.0
2016-03-09,89.56,90.218,88.0,90.06,14.9876,4340473,0.0,1.0
2016-03-10,91.5,92.86,86.27,89.72,14.931,7155307,0.0,1.0
2016-03-11,92.62,94.47,91.83,94.37,15.7049,3534554,0.0,1.0
2016-03-14,93.42,95.62,93.31,94.92,15.7964,3274274,0.0,1.0
2016-03-15,93.96,95.12,93.01,94.86,15.7864,4023308,0.0,1.0
2016-03-16,94.02,98.09,94.02,97.28,16.1891,3676203,0.0,1.0
2016-03-17,96.54,97.87,95.4101,97.0,16.1425,2656363,0.0,1.0
2016-03-18,97.8,98.38,96.11,97.56,16.2357,3073676,0.0,1.0
2016-03-21,97.14,99.05,96.95,98.72,16.4288,2833522,0.0,1.0
2016-03-22,97.12,100.35,97.03,99.6,16.5752,2650326,0.0,1.0
2016-03-23,99.07,99.29,96.55,97.23,16.1808,3217849,0.0,1.0
2016-03-24,95.65,97.38,95.3,97.2,16.1758,2646321,0.0,1.0
2016-03-28,98.18,98.2,96.38,96.85,16.1176,2695548,0.0,1.0
2016-03-29,96.32,101.7,95.85,101.48,16.8881,3745704,0.0,1.0
2016-03-30,103.33,104.91,102.34,103.0,17.1411,4372644,0.0,1.0
2016-03-31,102.77,103.92,102.07,102.4,17.0412,2469208,0.0,1.0
2016-04-01,100.84,105.93,100.27,105.81,17.6087,3396281,0.0,1.0
2016-04-04,105.65,106.0,103.8712,104.5,17.3907,2846468,0.0,1.0
2016-04-05,102.11,103.32,101.16,101.69,16.923,3059210,0.0,1.0
2016-04-06,102.0,106.6399,101.9,106.56,17.7335,3793520,0.0,1.0
2016-04-07,104.75,105.27,100.63,101.96,16.968,5254663,0.0,1.0
2016-04-08,103.81,104.53,100.66,101.72,16.928,3463424,0.0,1.0
